,endTime,artistName,trackName,msPlayed
132,2021-04-16 06:05,JACKBOYS,GANG GANG,1230.0
133,2021-04-16 06:05,YoungBoy Never Broke Again,Make No Sense,4411.0
134,2021-04-16 06:05,YNW Melly,223's (feat. 9lokknine),176640.0
136,2021-04-16 06:08,Rich The Kid,Money Talk (feat. YoungBoy Never Broke Again),175413.0
137,2021-04-16 06:08,Young Thug,Hop Off A Jet (feat. Travis Scott),2043.0
138,2021-04-16 06:08,JACKBOYS,OUT WEST (feat. Young Thug),1462.0
139,2021-04-16 06:12,Chief Keef,Love Sosa,239351.0
140,2021-04-16 06:14,Lil Tecca,Love Me,117013.0
141,2021-04-16 06:16,Gucci Mane,Big Booty (feat. Megan Thee Stallion),122511.0
142,2021-04-16 06:18,Kodak Black,Transportin',166069.0
143,2021-04-16 06:19,Baby Keem,ORANGE SODA,2809.0
144,2021-04-16 06:19,YoungBoy Never Broke Again,Lil Top,719.0
145,2021-04-16 06:21,YoungBoy Never Broke Again,How You Want It,147446.0
146,2021-04-16 06:25,A Boogie Wit da Hoodie,Say A',212694.0
147,2021-04-16 06:28,6 Dogs,Faygo Dreams,167973.0
148,2021-04-16 06:30,YoungBoy Never Broke Again,Ranada,176483.0
149,2021-04-16 06:31,Afroman,Because I Got High,11585.0
150,2021-04-16 06:34,Dominic Fike,3 Nights,177666.0
151,2021-04-16 06:38,Nebu Kiniza,Can't Deny (feat. Lil Tecca),2623.0
152,2021-04-16 06:38,Bryce Vine,Sour Patch Kids,252560.0
154,2021-04-16 06:40,Gunna,Who You Foolin,151539.0
155,2021-04-16 06:41,Sheck Wes,Mo Bamba,15557.0
156,2021-04-16 06:41,24kGoldn,GAMES ON YOUR PHONE,40500.0
157,2021-04-16 06:44,Lil Yachty,Hightop Shoes,3529.0
158,2021-04-16 06:44,Sheck Wes,Mo Bamba,22732.0
159,2021-04-16 06:44,Lil Uzi Vert,Leaders (feat. NAV),124203.0
160,2021-04-16 06:44,Rvssian,Only The Team (with Lil Mosey & Lil Tjay),3970.0
161,2021-04-16 06:46,No Jumper,Hard (feat. Tay-K and BlocBoy JB),138996.0
162,2021-04-16 06:46,Ty Dolla $ign,Powder Blue (feat. Gunna),2655.0
163,2021-04-16 06:47,Arizona Zervas,24,5456.0
164,2021-04-16 06:47,Spillage Village,Shiva (with JID & EARTHGANG feat. Benji. & Jurdan Bryant),1834.0
165,2021-04-16 06:47,StaySolidRocky,Party Girl,49040.0
166,2021-04-16 06:48,KYLE,iSpy (feat. Lil Yachty),6246.0
167,2021-04-16 06:48,Outkast,"So Fresh, So Clean",7430.0
168,2021-04-16 06:50,Surfaces,Sunday Best,157152.0
169,2021-04-16 06:53,Trippie Redd,Mac 10,125457.0
170,2021-04-16 06:53,Drake,Laugh Now Cry Later (feat. Lil Durk),1741.0
171,2021-04-16 06:55,Russ,What They Want,165853.0
172,2021-04-16 06:56,KYLE,iSpy (feat. Lil Yachty),7633.0
173,2021-04-16 06:58,Pop Smoke,Paranoia (feat. Gunna & Young Thug),140782.0
174,2021-04-16 07:00,Kevin Gates,Me Too,1096.0
